column_name,measure,value_2020_2,value_2021_1,values_equal
IntegrationAuthority2016Code,maximum_value,NULL,NULL,TRUE
IntegrationAuthority2018Code,data_type,char(9),char(9),TRUE
IntegrationAuthority2018Code,null_count,224174,224827,FALSE
IntegrationAuthority2018Code,distinct_values,0,0,TRUE
IntegrationAuthority2018Code,minimum_value,NULL,NULL,TRUE
IntegrationAuthority2018Code,maximum_value,NULL,NULL,TRUE
IntegrationAuthority2019Code,data_type,char(9),char(9),TRUE
IntegrationAuthority2019Code,null_count,0,0,TRUE
IntegrationAuthority2019Code,distinct_values,31,31,TRUE
IntegrationAuthority2019Code,minimum_value,S37000001,S37000001,TRUE
IntegrationAuthority2019Code,maximum_value,S37000035,S37000035,TRUE
IntermediateZone2001Code,data_type,char(9),char(9),TRUE
IntermediateZone2001Code,null_count,0,0,TRUE
IntermediateZone2001Code,distinct_values,1235,1235,TRUE
IntermediateZone2001Code,minimum_value,S02000001,S02000001,TRUE
IntermediateZone2001Code,maximum_value,S02001235,S02001235,TRUE
IntermediateZone2011Code,data_type,char(9),char(9),TRUE
IntermediateZone2011Code,null_count,0,0,TRUE
IntermediateZone2011Code,distinct_values,1279,1279,TRUE
IntermediateZone2011Code,minimum_value,S02001236,S02001236,TRUE
IntermediateZone2011Code,maximum_value,S02002514,S02002514,TRUE
Islands2014Code,data_type,char(3),char(3),TRUE
Islands2014Code,null_count,224174,224827,FALSE
Islands2014Code,distinct_values,0,0,TRUE
Islands2014Code,minimum_value,NULL,NULL,TRUE
Islands2014Code,maximum_value,NULL,NULL,TRUE
Islands2016Code,data_type,char(3),char(3),TRUE
Islands2016Code,null_count,224174,224827,FALSE
Islands2016Code,distinct_values,0,0,TRUE
Islands2016Code,minimum_value,NULL,NULL,TRUE
Islands2016Code,maximum_value,NULL,NULL,TRUE
Islands2020Code,data_type,char(3),char(3),TRUE
Islands2020Code,null_count,0,0,TRUE
Islands2020Code,distinct_values,57,57,TRUE
Islands2020Code,minimum_value,0,0,TRUE
Islands2020Code,maximum_value,158,158,TRUE
LAU2,data_type,char(9),char(9),TRUE
LAU2,null_count,224174,224827,FALSE
LAU2,distinct_values,0,0,TRUE
LAU2,minimum_value,NULL,NULL,TRUE
LAU2,maximum_value,NULL,NULL,TRUE
LAU2011Level1Code,data_type,char(9),char(9),TRUE
LAU2011Level1Code,null_count,224174,224827,FALSE
